ID1,ID2,Weight
300038,300016,1
300038,300018,1
300038,300026,2
300038,300030,3
300038,300037,1
300038,300043,1
300038,300051,1
300038,300064,3
300038,300065,1
300038,300069,1
300038,300230,1
300040,300005,2
300040,300013,2
300040,300015,2
300040,300016,2
300040,300017,2
300040,300018,5
300040,300019,4
300040,300026,3
300040,300030,2
300040,300041,4
300040,300046,2
300040,300052,2
300040,300053,2
300040,300054,4
300040,300062,2
300041,300040,8
300042,300044,4
300042,300045,3
300042,300118,5
300043,300004,4
300043,300014,1
300043,300020,3
300043,300030,3
300043,300044,2
300044,300042,3
300044,300045,2
300044,300057,6
300045,300042,3
300045,300044,2
300045,300224,4
300046,300020,2
300046,300030,2
300046,300072,3
300047,300009,3
300047,300048,4
300048,300009,3
300048,300047,4
300051,300005,3
300051,300016,2
300051,300021,1
300051,300030,1
300051,300046,1
300051,300068,2
300051,300121,1
300051,300206,1
300052,300015,5
300052,300030,2
300052,300072,3
300052,300121,3
300053,300019,2
300053,300037,2
300053,300040,2
300054,300105,1
300054,300123,2
300054,300206,2
300055,300056,5
300056,300015,6
300056,300051,2
300056,300055,6
300056,300064,2
300056,300069,2
300056,300121,3
300057,300044,4
300060,300020,3
300060,300028,3
300060,300030,3
300060,300037,3
300060,300043,4
300060,300046,3
300060,300068,4
300060,300104,3
300062,300023,1
300062,300026,1
300062,300028,2
300062,300064,1
300062,300122,2
300064,300018,3
300064,300019,3
300064,300021,2
300064,300046,2
300064,300053,2
300064,300068,1
300064,300069,1
300064,300070,3
300064,300072,3
300065,300038,1
300065,300064,1
300068,300018,2
300068,300060,4
300068,300062,2
300068,300064,4
300068,300070,1
300068,300072,2
300069,300038,2
300070,300043,1
300072,300018,1
300072,300026,2
300072,300052,3
300072,300068,2
300072,300123,1
300072,300206,2
300075,300026,2
300075,300051,1
300075,300054,2
300075,300055,1
300075,300056,1
300075,300064,1
300076,300020,1
300076,300029,7
300076,300062,1
300076,300064,1
300076,300072,1
300076,300076,1
300077,300078,3
300077,300101,3
300078,300077,2
300083,300084,3
300083,300087,3
300083,300088,3
300083,300100,5
300087,300083,4
300087,300088,3
300088,300083,4
300088,300087,4
300100,300083,4
300100,300224,4
300100,300235,1
300101,300028,1
300101,300077,3
300101,300078,1
300104,300051,2
300104,300206,2
300105,300021,8
300105,300054,3
300106,300054,5
300106,300062,2
300106,300105,3
300106,300123,3
300106,300206,3
300106,300232,2
300118,300042,6
300121,300015,2
300121,300052,3
300121,300062,2
300121,300072,2
300121,300122,3
300122,300015,1
300122,300056,2
300122,300121,3
300141,300028,2
300206,300054,5
300206,300105,2
300206,300106,2
300206,300123,2
300224,300100,5
300230,300064,3
300230,300232,3
300232,300020,3
300232,300030,2
300232,300038,2
300232,300064,3
300232,300070,3
300235,300100,1
